Country,Type,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Country area,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0
Afghanistan,Cropland,7700.0,7760.0,7810.0,7873.0,7875.0,7913.0,7979.0,7980.0,7996.0,8006.0,8036.0,8046.0,8048.0,8048.0,8048.0,8048.0,8050.0,8050.0,8049.0,8049.0,8053.0,8054.0,8054.0,8054.0,8054.0,8054.0,8045.0,8040.0,8040.0,8040.0,8030.0,8030.0,7934.0,7813.0,7753.0,7752.0,7790.0,7867.0,7753.0,7753.0,7753.0,7753.0,7910.0,7911.0,7910.0,7910.0,7910.0,7910.0,7910.0,7911.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7919.0
Albania,Country area,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0,2875.0
Albania,Cropland,479.0,487.0,495.0,501.0,522.0,540.0,556.0,570.0,585.0,599.0,610.0,624.0,636.0,652.0,662.0,685.0,692.0,697.0,697.0,702.0,706.0,709.0,710.0,713.0,713.0,713.0,714.0,714.0,707.0,704.0,703.0,703.0,702.0,702.0,702.0,702.0,700.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,659.0,705.0,698.0,697.0,696.0,696.0,696.0,696.0,696.3,696.0,696.1,703.5,691.1,696.0
Albania,Cropland area actually irrigated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,118.0,202.0,204.5,204.3,204.7,205.26,149.8,158.0,169.0,171.0,176.0
Algeria,Country area,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.0,238174.1,238174.1,238174.1,238174.1
Algeria,Cropland,7066.0,6900.0,6810.0,6753.0,6784.0,6784.0,6866.0,6787.0,6787.0,6800.0,6981.0,7111.0,7135.0,7167.0,7495.0,7746.0,7542.0,7542.0,7497.0,7509.0,7510.0,7509.0,7231.0,7510.0,7511.0,7533.0,7624.0,7642.0,7673.0,7635.0,7806.0,8094.0,8064.0,8006.0,8029.0,8040.0,8159.0,8174.0,8192.0,8192.0,8163.0,8206.0,8244.7,8296.0,8363.0,8378.0,8390.0,8400.0,8399.0,8411.0,8421.0,8430.5,8435.2,8439.2,8462.4,8417.6,8483.4261,8517.017
American Samoa,Country area,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
American Samoa,Cropland,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2,3.2,3.2,3.5,4.0,4.0,4.7,4.79,4.8,4.5,4.5,5.04,5.0,5.0,5.0,4.8,4.8,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Andorra,Country area,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
