Country,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 Afghanistan, AFG,27.675,21.458333333333332,27.125,26.7,29.875,23.575,30.066666666666666,27.766666666666666,28.90833333333333,19.908333333333335,16.166666666666668,32.61666666666667,22.433333333333334,24.75,26.566666666666666,30.266666666666666,24.558333333333334,23.933333333333334,27.433333333333334,28.525000000000002,29.099999999999998,34.19166666666667,25.816666666666666,21.733333333333334,19.458333333333332,26.025000000000002,24.966666666666665,27.041666666666668,26.2,29.09166666666667,33.891666666666666,31.891666666666666,25.450000000000003,27.358333333333334,25.38333333333333,26.40833333333333,26.641666666666666,28.875,24.866666666666664,19.125,18.441666666666666,24.34166666666667,26.816666666666666,24.65833333333333,29.241666666666664,27.516666666666666,25.541666666666668,23.28333333333333,30.53333333333333,23.483333333333334,25.666666666666668,29.641666666666666,29.508333333333336,24.108333333333334,32.43333333333333,29.375,23.191666666666666,21.325,30.641666666666666,31.358333333333334
 Albania, ALB,73.40833333333333,103.79166666666667,106.0,89.45,76.10000000000001,99.48333333333333,79.20833333333333,93.98333333333333,102.325,91.11666666666667,86.24166666666667,97.38333333333333,92.35833333333333,97.25,66.88333333333334,99.21666666666665,66.01666666666667,90.97500000000001,113.93333333333334,97.35833333333333,90.16666666666667,86.16666666666667,79.19166666666666,77.53333333333333,79.49166666666666,83.39999999999999,91.26666666666667,71.31666666666666,67.85833333333333,70.14999999999999,79.22500000000001,70.55833333333334,75.45,81.16666666666667,97.375,101.09166666666665,72.36666666666666,84.28333333333333,94.95,66.44166666666666,69.45833333333333,91.8,83.98333333333333,89.61666666666667,91.075,87.86666666666667,88.50833333333333,84.78333333333333,111.05,112.02499999999999,65.45833333333333,85.44166666666666,88.3,112.60000000000001,87.36666666666667,95.48333333333333,83.825,78.69166666666666,99.5,84.26666666666667
 Algeria, DZA,5.1499999999999995,8.016666666666667,7.966666666666666,7.0,6.658333333333334,6.416666666666667,7.116666666666667,6.375,8.475,5.05,7.816666666666666,8.191666666666666,7.158333333333334,6.883333333333333,7.283333333333334,9.666666666666666,6.2,5.533333333333334,7.933333333333334,7.808333333333334,4.875,8.216666666666667,4.041666666666667,6.616666666666667,6.958333333333333,8.241666666666667,6.383333333333334,6.683333333333334,5.7,7.666666666666667,7.183333333333334,7.433333333333334,5.241666666666666,6.941666666666666,6.691666666666666,8.358333333333333,7.583333333333333,5.675,8.0,4.75,5.516666666666667,5.8,8.65,8.158333333333333,5.833333333333333,7.7749999999999995,7.208333333333333,6.666666666666667,7.541666666666667,7.7,8.033333333333333,6.958333333333333,7.416666666666667,6.2,6.25,5.641666666666667,6.008333333333333,7.766666666666667,6.233333333333333,4.866666666666666
 Andorra, AND,63.64166666666667,92.34166666666665,102.00833333333333,83.06666666666666,80.925,77.85833333333333,62.90833333333333,84.25833333333334,99.19166666666666,65.36666666666666,95.85000000000001,97.02499999999999,60.541666666666664,78.425,78.24166666666666,76.45833333333333,98.075,65.575,88.06666666666666,65.64999999999999,72.41666666666667,90.26666666666667,63.51666666666667,75.89166666666667,59.225,54.49166666666667,77.66666666666667,77.55833333333334,70.21666666666667,67.55,72.08333333333333,90.78333333333332,82.20833333333333,61.75,59.21666666666667,104.85000000000001,80.95,60.275,77.89999999999999,72.43333333333334,60.550000000000004,89.60833333333333,82.99166666666666,79.51666666666667,62.98333333333333,57.4,62.324999999999996,78.90833333333333,60.900000000000006,72.59166666666667,71.51666666666667,58.06666666666667,84.55,86.71666666666665,61.708333333333336,65.71666666666667,64.95833333333333,101.29166666666667,77.28333333333333,79.30833333333334
 Angola, AGO,97.51666666666667,89.63333333333333,88.16666666666667,76.00833333333334,78.45,89.35000000000001,95.46666666666665,88.72500000000001,96.04166666666667,76.54166666666667,77.98333333333333,77.90833333333333,84.73333333333333,86.24166666666667,82.43333333333334,87.35000000000001,88.18333333333334,82.69166666666666,88.73333333333333,74.77499999999999,70.56666666666666,77.34166666666667,75.35833333333333,76.23333333333333,78.02499999999999,89.93333333333334,78.73333333333333,86.575,76.98333333333333,82.0,85.33333333333333,73.45833333333333,82.09166666666667,77.85833333333333,75.55833333333334,78.22500000000001,85.35833333333333,81.50833333333334,83.85833333333333,83.25833333333334,82.52499999999999,85.16666666666667,80.925,83.81666666666666,80.125,85.64166666666667,82.74166666666666,83.94166666666666,84.28333333333333,82.19166666666666,83.50833333333334,84.72500000000001,81.85833333333333,83.89166666666667,79.5,81.39999999999999,83.64166666666667,83.56666666666666,84.125,84.71666666666667
 Antigua and Barbuda, ATG,188.29999999999998,200.35833333333335,191.48333333333335,176.40833333333333,196.25,215.475,188.83333333333334,176.25833333333333,225.95000000000002,225.51666666666665,193.49166666666667,194.0583333333333,150.94166666666666,184.5,204.79166666666666,178.975,188.77499999999998,183.0666666666667,256.28333333333336,190.9416666666667,214.65833333333333,205.70833333333334,195.975,211.20833333333334,194.00833333333333,222.32500000000002,248.24166666666667,230.61666666666667,235.975,213.48333333333335,190.9416666666667,249.95000000000002,186.0666666666667,163.74166666666667,191.35833333333335,219.74166666666667,189.99166666666667,244.89166666666665,212.0666666666667,168.31666666666666,204.525,209.00833333333333,208.07500000000002,254.96666666666667,261.52500000000003,253.13333333333335,198.67499999999998,254.91666666666666,172.66666666666666,240.08333333333334,224.76666666666665,193.71666666666667,197.10833333333335,206.20000000000002,130.84166666666667,212.625,225.25833333333333,196.58333333333334,196.89166666666665,193.78333333333333
 Argentina, ARG,47.349999999999994,34.458333333333336,50.35833333333333,40.800000000000004,44.64166666666667,48.19166666666666,42.583333333333336,41.53333333333333,42.949999999999996,41.166666666666664,42.45,48.475,50.26666666666667,43.15,46.175000000000004,49.11666666666667,51.98333333333333,50.13333333333333,48.300000000000004,48.51666666666667,49.18333333333334,50.125,47.875,57.050000000000004,50.9,52.21666666666667,50.675000000000004,38.21666666666667,41.06666666666667,51.699999999999996,51.35833333333333,56.458333333333336,47.375,46.725,39.05833333333333,48.925000000000004,51.24166666666667,48.40833333333333,49.46666666666667,55.60833333333334,55.625,58.666666666666664,45.833333333333336,44.791666666666664,43.975,45.9,45.39166666666667,41.199999999999996,41.43333333333333,42.958333333333336,43.15,48.28333333333333,40.291666666666664,54.35833333333333,49.9,51.03333333333333,49.13333333333333,46.375,45.49166666666667,38.50833333333333
 Armenia, ARM,27.816666666666666,42.21666666666667,67.5,38.00833333333333,48.833333333333336,45.275,49.949999999999996,44.19166666666666,45.275,33.266666666666666,37.13333333333333,50.675000000000004,40.574999999999996,47.10833333333333,44.80833333333334,45.791666666666664,44.25833333333333,46.574999999999996,39.49166666666667,35.84166666666667,48.50833333333333,49.208333333333336,47.28333333333333,38.65,37.525,48.05833333333334,45.550000000000004,55.75833333333333,36.300000000000004,38.324999999999996,41.800000000000004,46.666666666666664,42.775,47.025,39.083333333333336,38.65,42.35,38.016666666666666,39.34166666666667,33.541666666666664,38.84166666666667,53.708333333333336,56.84166666666667,48.791666666666664,51.00833333333333,45.61666666666667,57.46666666666667,39.666666666666664,54.75,53.84166666666667,53.06666666666666,40.63333333333333,42.800000000000004,41.63333333333333,48.39166666666667,53.166666666666664,36.791666666666664,44.449999999999996,33.25833333333333,44.53333333333333
 Australia, AUS,30.508333333333336,38.21666666666667,40.6,37.891666666666666,30.058333333333337,34.65833333333333,35.75833333333333,44.85,36.175000000000004,33.583333333333336,41.800000000000004,31.633333333333336,54.925000000000004,62.14166666666667,49.5,45.4,40.24166666666667,44.5,38.483333333333334,37.03333333333333,45.61666666666667,34.88333333333333,42.46666666666666,46.416666666666664,34.59166666666667,34.36666666666667,39.324999999999996,39.48333333333333,39.68333333333333,36.05833333333333,38.824999999999996,38.166666666666664,41.11666666666667,29.025000000000002,43.31666666666666,39.44166666666666,43.26666666666667,45.05833333333334,47.25833333333333,53.291666666666664,41.016666666666666,28.183333333333334,38.38333333333333,40.725,33.425000000000004,37.675000000000004,38.94166666666667,38.550000000000004,39.375,52.80833333333334,46.474999999999994,38.75,36.666666666666664,38.06666666666667,37.25833333333333,41.333333333333336,38.90833333333334,37.0,30.974999999999998,39.88333333333333
 Austria, AUT,91.28333333333335,101.25833333333334,86.94166666666666,102.02499999999999,117.20833333333333,116.24166666666667,93.25833333333333,90.90833333333335,87.51666666666667,109.60833333333333,73.00833333333334,96.08333333333333,91.72500000000001,101.26666666666667,96.81666666666666,88.08333333333333,93.41666666666667,87.93333333333334,115.70833333333333,96.04166666666667,99.22500000000001,92.175,85.38333333333333,87.26666666666667,99.92500000000001,89.81666666666666,105.43333333333334,100.47500000000001,92.88333333333333,98.98333333333333,95.425,96.00833333333334,93.44166666666666,92.15833333333335,102.90833333333335,104.70833333333333,94.86666666666667,98.675,106.13333333333333,105.19166666666666,96.16666666666667,108.50833333333333,79.49166666666666,95.69166666666666,99.34166666666665,92.89166666666667,103.69166666666666,98.39166666666667,108.41666666666667,102.45833333333333,84.91666666666667,100.89999999999999,104.27499999999999,109.24166666666667,95.7,119.00833333333333,113.56666666666666,97.61666666666667,106.28333333333335,112.65833333333335
