Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,-0.121,-0.171,0.841,-0.779,-0.254,0.172,-0.374,-0.375,-0.49,0.852,0.621,-1.135,0.214,-0.508,-0.452,-0.261,0.57,0.16,0.386,0.624,0.502,-0.302,0.178,0.144,0.305,-0.09,0.44,0.958,-0.203,0.796,-0.133,-0.297,0.223,0.459,0.401,-0.064,0.409,0.585,1.192,1.039,1.355,1.361,0.632,1.37,0.477,1.754,0.745,0.798,0.982,1.695,1.463,0.283,1.325,0.536,1.166,1.581,1.626,1.682,1.125,0.652
Albania,0.639,0.345,0.078,-0.166,-0.388,0.553,-0.082,0.073,-0.024,-0.127,-0.223,-0.097,-0.304,-0.138,-0.209,-0.688,0.543,-0.795,0.25,-0.376,-0.312,0.236,-0.059,-0.21,-0.041,0.63,-0.048,0.431,-0.004,0.82,-0.245,0.116,0.124,1.374,-0.127,0.014,0.117,0.838,0.718,1.12,1.573,0.533,1.016,0.453,0.216,0.493,1.487,1.152,1.016,1.145,1.133,1.577,1.431,1.357,1.703,1.624,1.286,2.189,1.858,1.671
Algeria,0.11,0.042,0.005,0.169,-0.176,0.373,-0.02,-0.062,0.325,0.13,-0.362,-0.324,0.004,-0.473,-0.526,-0.762,0.593,0.096,0.72,0.286,0.255,0.439,0.643,0.07,0.582,0.394,1.04,1.378,0.425,1.312,0.079,-0.273,0.633,0.719,0.619,0.866,1.085,1.142,1.527,0.865,1.897,1.291,1.635,1.034,1.305,1.429,1.245,1.215,0.978,2.291,1.427,1.184,1.211,1.715,1.151,1.776,1.537,1.246,1.127,1.943
American Samoa,0.042,-0.08,0.128,-0.178,-0.526,0.218,-0.342,-0.172,0.147,-0.033,-0.464,-0.073,0.332,-0.299,-0.11,-0.168,0.157,0.093,0.339,0.33,0.155,0.258,0.287,0.244,0.223,0.36,0.311,0.486,0.151,0.507,0.801,0.655,0.204,0.343,0.813,0.743,0.0,0.0,0.219,0.685,0.962,1.211,0.702,0.28,0.959,0.561,1.034,0.643,0.0,1.163,0.711,0.732,1.016,0.887,0.726,1.256,1.151,0.905,1.255,1.161
Andorra,0.744,0.117,-0.746,0.315,-0.499,0.406,0.62,-0.013,-0.171,0.093,-0.343,-0.513,0.005,-0.403,0.221,-0.071,-0.122,-0.184,0.034,-0.214,0.145,1.009,0.808,-0.207,0.006,0.336,0.361,0.854,1.133,1.695,0.176,0.332,0.161,1.492,1.239,0.523,1.725,0.942,0.964,0.952,1.409,0.766,1.909,0.887,0.807,1.438,0.954,0.858,1.325,0.373,1.586,1.179,0.748,1.868,1.564,1.845,1.784,1.76,1.8,2.378
Angola,0.049,-0.143,-0.181,-0.207,-0.201,0.182,-0.067,-0.191,0.182,0.245,-0.073,-0.095,0.471,-0.161,-0.029,-0.328,0.274,0.043,0.301,0.289,-0.063,0.167,0.473,0.667,0.694,0.154,0.731,0.634,0.079,0.787,0.448,0.606,0.34,0.295,0.827,0.455,0.3,1.206,0.499,0.248,0.326,0.759,0.948,0.397,1.084,0.455,0.753,0.409,0.64,1.16,0.828,0.528,0.97,0.776,1.319,1.733,0.952,1.26,1.752,1.057
Anguilla,0.039,0.005,0.203,0.127,-0.344,0.062,-0.22,-0.309,0.299,0.05,-0.32,-0.148,0.189,-0.362,-0.35,-0.449,0.163,0.102,0.002,0.684,0.519,0.097,0.486,0.051,-0.065,-0.041,0.505,0.369,-0.128,0.264,0.256,0.199,0.369,0.429,0.476,0.229,0.39,0.975,0.456,0.114,0.471,0.573,0.689,0.374,0.656,0.441,0.699,0.166,0.421,0.931,0.327,0.492,0.587,0.611,0.87,0.963,0.702,0.532,0.766,1.154
Antarctica,0.28,-0.227,0.136,-0.366,-0.098,-0.24,0.133,-0.088,-0.256,-0.133,0.28,0.621,0.011,0.169,0.177,-0.634,0.25,-0.118,-0.234,0.565,0.706,-0.031,-0.693,0.131,0.18,-0.269,-0.699,0.955,-0.437,0.289,0.677,0.334,-0.728,-0.206,-0.27,0.799,-0.543,-0.47,-0.581,-0.765,-0.049,1.272,-0.463,0.141,0.888,-0.067,0.694,0.617,1.354,0.825,0.738,-0.202,1.75,0.559,-0.085,0.229,0.773,1.451,0.638,0.779
Antigua and Barbuda,-0.005,0.015,0.252,0.101,-0.409,0.167,-0.152,-0.276,0.263,0.063,-0.294,-0.19,0.221,-0.349,-0.4,-0.472,0.157,0.135,0.128,0.663,0.567,0.19,0.474,-0.023,-0.089,-0.077,0.583,0.322,-0.177,0.241,0.318,0.276,0.364,0.373,0.522,0.274,0.431,0.992,0.439,0.186,0.0,0.499,0.65,0.331,0.651,0.382,0.637,0.085,0.322,0.961,0.382,0.484,0.556,0.487,0.811,0.889,0.665,0.506,0.763,1.098
Argentina,0.149,-0.049,0.169,-0.343,0.088,-0.167,0.001,0.479,0.285,0.43,-0.273,-0.03,-0.184,-0.144,-0.066,-0.384,0.363,0.302,0.206,0.313,0.323,0.312,-0.005,-0.16,0.245,0.405,0.391,-0.249,0.565,0.393,0.224,-0.289,0.043,0.457,0.21,0.476,0.732,0.32,0.138,-0.22,0.392,0.259,0.593,0.384,0.171,0.508,-0.248,0.522,0.735,0.042,0.29,0.713,0.37,0.901,0.892,0.417,1.01,0.783,0.664,1.04
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.283,-0.917,0.507,0.73,0.514,0.668,1.368,1.583,1.124,1.461,1.262,0.155,1.17,0.544,1.659,0.703,0.818,0.62,2.611,0.591,1.212,1.367,1.244,1.897,1.317,0.884,2.75,1.806,1.898
